tweet,probability,Classification,True_class
thingsyoushouldneverassume someone says okay smile maybe wanna worry ,0.36097937632244814,OFF,NOT
repost get repost love fooled mistakes made dark images hold remember beauty feel,0.7568034788217952,NOT,NOT
nick gehlfuss stan watched friends going stop tvtime,0.4391199566191557,OFF,NOT
seo tips master fate online wise expect pity screw nobody else blame,0.5529766394702891,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.7309589249410346,NOT,OFF
maga qanon greatawakening inners wwgwga nowcomesthepain walkaway goodbyedemocrats ellison accuser says sidelined party,0.6570077152583267,NOT,NOT
truth show build personal online traffic economy never short supply qualified prospects sales ,0.7139838234950244,NOT,NOT
gun control wondering control bodies got suicided need controlled gitmo pain coming maga qanon benghazi hope televise demise,0.7798591165394576,NOT,NOT
antifa new cause,0.7432377010226601,NOT,NOT
balkan conservatives unite family congress moldova,0.7759195271644334,NOT,OFF
boycottnfl dead ,0.3157770136545982,OFF,OFF
walkawayfromalldemocrats michelle years sure need bad advice new sheriff town maga get vote colors genders aka americans,0.744213391489624,NOT,NOT
constitutionday enforce u immigration laws one set laws illegal aliens one set laws citizens trump maga rednationrising nodaca,0.6503647026169506,NOT,OFF
blaseyford comical liberals always want ways first women need treated equals comes ford testifying say unfair men asking questions dems women equal receive special treatment,0.6367547293282925,NOT,NOT
 gun control kills people need concealed carry,0.675734725407413,NOT,OFF
ted always feel appropriate public behavior often unable control gopdysfunction,0.5272730409591228,NOT,NOT
followthewhiterabbit qanon greatawakening spygate walkaway qanon qarmy maga google maga poland fisadeclassification dearprofessorford dem us senator corey booker molesting year old surfaces,0.7340828645507836,NOT,OFF
stick comedy funny yo start political commentary pathetic,0.7089357157132853,NOT,OFF
holder needed impeached,0.5482771365488435,NOT,NOT
wearebroncos little guy loves broncos one biggest fan beon,0.805092324754336,NOT,NOT
bbcnews cleverly cuts nhs james cleverly conservatives coalition health spending,0.8688508881763136,NOT,NOT
 cute hell love looks like antifa protestor really freezing cold hunter need dye hair omg loved redhead,0.653842048864882,NOT,OFF
believeallwomen think things get dumber happens liberals probably realize children equality treat women men pretty sure better results culture,0.6130761201970614,NOT,NOT
today two important days life day born day find mark twain,0.8446313633582203,NOT,NOT
theladybam spoken simply best spreadmarylove onward,0.78672679769594,NOT,NOT
media credentials poc problem please send dm like tweet,0.7990280909630607,NOT,NOT
alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors ,0.7116550694742079,NOT,OFF
sierraburgessisaloser phone dings,0.46795591439593476,OFF,OFF
metoo racist,0.46696366094911645,OFF,OFF
gop still acting like wimps havent yet realized liberals hate regardless sentiments either republicans stupid get way theyre tilted far left confirmkavanaughnow,0.6466602821108689,NOT,NOT
serenawilliams first mother women tour embarrassingly entitled bully yes kim clijsters winning major year baby,0.7175941300386076,NOT,OFF
thearchers want brilliant karate kick shit everyone,0.48270967342800963,OFF,NOT
fed agency hijaked info fed agency extremist group secretly funded antifa blm soros cia,0.8490856401383946,NOT,NOT
baldwinfundraises k street firm working pro bono gun control lobby law tammybaldwin fundraiser,0.6829161904164324,NOT,NOT
aafiasiddiqui convicted terrorist widely hailed daughter pakistan,0.5212615330022385,NOT,OFF
dregsofsociety deplorables liberals usually dehumanize want exterminate later,0.5832115258041266,NOT,NOT
aldubloveandbeyond rise life friends know fall know friends ,0.5251989945404443,NOT,NOT
gemini woman cannot change scene liable change cast,0.8688508881763136,NOT,NOT
wce favorite girl hope day awesome ,0.8575567295734536,NOT,OFF
emmyawards ratings tank expected possibly stand watch many liberals one place one time,0.7782700741867532,NOT,NOT
cult like caps hmm else see cult like caps maga,0.6387376519885084,NOT,NOT
eagles setting workout jeremy maclin according week though still hurting,0.6133623084394644,NOT,NOT
let friends civil discussion totally fine told face life sinful criticize ever lightly civil anymore deserves block,0.6493843816999969,NOT,OFF
gutierrez always nothing racebaiter,0.7218018774476338,NOT,NOT
disarmthem antifa give jack participation trophy,0.7016171127914286,NOT,NOT
cognitivedissonancechallenge one painful conservatives proceed caution,0.738064419765641,NOT,NOT
chequers crashes burns strasbourg along may hopes clinging power support ebbing away party parliament country time load webley,0.8520658049860175,NOT,NOT
john fund kavanaugh ford controversy even honest liberals upset via,0.7532948325265645,NOT,OFF
elitist actors nbc liberals dems hollywood emmy awards toothless nbc self promotion onslaught peppered metoo cracks planned staged okay democrats socialist liberals left walkaway,0.6384893827782254,NOT,NOT
kellerman knows thing average man boxing brady hater say rodgers maybe better thrower ie dan marino better qb brady jut look playoff record,0.6322375322002831,NOT,OFF
drford dearprofessorford fraud female group paid organized georgesoros,0.7862880533162846,NOT,NOT
osaka says crowd noisy really c going focus cuz great champ confused score went ,0.7154390222708062,NOT,OFF
bluewave dumptrump give love cooperate compromise w conservatives trump supporters constantly vilify marginalized groups constantly attack womens rights make choices bodies,0.6647360288842067,NOT,NOT
takes season opener saturday highlights,0.8688508881763136,NOT,NOT
ummmm fascism actually started mussolini italy antifa part anonymous anonymous censor like antifa related anonymous anti censorship,0.755113230360571,NOT,OFF
nightmayor dt cycle track easily open antifa tennis courts inside crescent heights able trash nenshis communist vape shop,0.6055936124380944,NOT,NOT
mplspotlight met stefanie newest adult services librarian putting lot hours cleaning collections favorite find book unique homes see sure say hi monrolib,0.8088562370725493,NOT,OFF
arunjaitleystepdown shameless fm history india audacity shamelessness lies public disgrace post,0.6947565685172316,NOT,NOT
canada liberal government rejects recommendation political parties comply privacy laws facebook cambridgeanalytica scandal,0.7514842306837186,NOT,NOT
 marry please roguebot,0.8411846154546888,NOT,OFF
conservatives bn housing trick crock sh te housingcrisis,0.8464984032639934,NOT,OFF
weeks resp done still know shit ass still vacation mode,0.5163313050475683,NOT,NOT
nab jesus reject u come homeward bound towards heavens kingdom open door ,0.6624950381035173,NOT,NOT
nickelodeon kallysmashup angel sheart forceof characterof goddessand lightshinesas much like star maiareficco,0.728951826380313,NOT,OFF
coupdetat spain catalona spain fakedemocracy cddr shameonspain wakeupeurope,0.7769474623994759,NOT,NOT
analysis supporters people party canada would likely bristle called liberal beliefs fit classic definition,0.7078386395060994,NOT,NOT
barbiedreamsvideo saw genius interview thank loving us much way love barbie beauty brains,0.8668158705371803,NOT,NOT
justiceforsoniasfather plz help sonia pain pti officials responding also getting trouble pmln goons plz help thanks,0.6476643061451735,NOT,NOT
 ok eric holder talking gun control pulled times going keep reposting everytime gets taken ,0.5763331494949832,NOT,NOT
conservatives today,0.8229035667049087,NOT,NOT
liberals democrats use first step food preparation,0.7124300220619666,NOT,OFF
liberalismisamentaldisorder also danger country liberals showing utterly hateful care truth care power,0.5041710309644194,NOT,NOT
florencehurricane hours sustained lethal cyclonic forces hours impact northcarolina southcarolina georgia stupid get away areas florence sep pm nyc miami houston chicago nj ca la,0.7674660012734511,NOT,NOT
antifa uklabour fbpe sutr pay attention forbritain fighting ,0.6104444859457423,NOT,NOT
 expert ni blocks anyone challenges views wants view heard obsessive love eu,0.7068111899530428,NOT,NOT
antifa demo memory killahp greece,0.7883474518302893,NOT,OFF
 coranated attacks idiot loons get worse much worse election u imagine idiots want get rid economy along interest rates polished politician idiots,0.6321143952988174,NOT,OFF
awwww stinking cute old ,0.6798062708877217,NOT,OFF
benghazi haiti uraniumone sethrich justice department need double standards rich powerful mean rob seal murder draintheswamp hillaryforprison votered maga,0.6708666041142632,NOT,NOT
black eyed peas tackle gun control social justice new song big love single highlights group first album eight years masters sun,0.6931754594090772,NOT,NOT
censorship awake yet ask conservatives censored walkaway,0.786207920815748,NOT,NOT
 didnt beat like said looking delicious say clean bruised knuckles nobody talks woman way except pulls lap want kiss make feel better tease,0.5552811391823911,NOT,OFF
jointhefight join fight american communists democrats liberals taken crap edge coming back openly promoting destruction america jointhefightagainstcommunism,0.666549914823369,NOT,NOT
art artistsontwitter soul goodbusiness entrepreneur success excellence womaninbusiness mindblowing quotestoliveby gentle child universe less trees stars right max ehrmann,0.649811253192879,NOT,NOT
icymi welcome anna grey barbour womens volleyball team anna terry sanford high school graduate studying dental hygiene college proud make trojan anna good luck season blackngold trojans,0.8688508881763136,NOT,NOT
biggbosstamil biggbosstamil biggbosstamil intha aishwarya va kuda manichirlam ana intha yashika biggest reason every fight bb house yet foolish people support tasks,0.7199372818394911,NOT,NOT
totallyblogging want know keep focus blogging easier said done start take look stop quitting ukbloggers fbloggers bbloggers lbloggers,0.7125535786673253,NOT,OFF
 stated talk zionist involvement metaphysical masturbation disinformation agent taking advantage people lesser intellect ashamed hes hes zionel,0.5304190570190939,NOT,NOT
update new projections state hurricane florence may travel coastline entire nc sc coast possibly suffering florence deadly storm surge greatly increasing seriousness rain wind south carolina surrounding areas even possibly georgia,0.8340523646199989,NOT,NOT
liberals like economics even know gender ,0.6407772853590487,NOT,OFF
khaleesi kinda watching hiac wtf think person pffft pathetic,0.7165818935132235,NOT,OFF
 females b shit,0.27706256204820623,OFF,NOT
brexit uklabour labour conservatives plaidcymru greens politics eu poll,0.8688508881763136,NOT,NOT
breakingnews via nyt new york times,0.9024782598796321,NOT,NOT
hchottestceleb round match scarlett johansson v emma stone poll ,0.8688508881763136,NOT,NOT
sugardaddy retweet want daily usa canada uk sugarbabyneeded sugarbabywanted findom sugarbaby canada,0.8688508881763136,NOT,OFF
declassifydocuments love watching liberals like maria squirm outnumbered,0.7704904952342169,NOT,OFF
politicsinfocus look donald duck stop patronizing ,0.4982869358749361,OFF,NOT
naturephotography nature birds wild wisconsin photography picoftheday pics fridaymotivation fridayfeeling instagramers hope amazing day,0.7622378901706869,NOT,NOT
carolineforbes needed help posted sl dm audition,0.4947944857422698,OFF,NOT
wcw mean hey great friend happy help missions anything else might need,0.7918371308123452,NOT,NOT
 would offbalanced exactly smart basic grappling might instinct antifa used basic grappling cross side collar snap stepping weak single leg attempt,0.6570830450951846,NOT,NOT
cancer hate crime actual crime victim called crime malum se hate crime socially engineered programming control people behavior like gun control changemymind,0.6676047560409246,NOT,OFF
carbontax works put tons money back canadian pockets part trudeau campaigning national carbon tax conservatives died want another death oblige,0.6950417379758052,NOT,OFF
antonia evans either sex trafficked cremated,0.5742464430338224,NOT,NOT
repost thesavoyshow get repost markknight says racist drawing racist picture serenawilliams yall believe nah,0.4832495964329383,OFF,NOT
 worrying thing teaching young adults,0.7282304145181707,NOT,NOT
walkaway democratsocialists socialists socialism resist communists antifa cult crazy insane mentalillness emptyheaded berniesanders venezuela trillion new taxes alexandriaocasiocortez ocasiocortez endorsementfail missvenezuala alexandria ocasio cortez,0.6171373938281559,NOT,OFF
theview stormy trapped dollar bill face poor pornstar worries democratic party leader ,0.6231990959160488,NOT,NOT
proudalumnus keep great work forget great leadership take time soak skills aim teach,0.8503348256627276,NOT,NOT
wildcardwednesday maxdrivewildcardwednesday onairwithshine np happier ft maxdrive w radioenchantress,0.85773621769875,NOT,NOT
 deep end calls intervention,0.8703127047199121,NOT,NOT
cnbc go talk gender gap silicon valley talk gap conservatives emocrats bias,0.6461033021824961,NOT,NOT
million funding competition us cities thats nice,0.7395632438325153,NOT,NOT
 chicom spy clubgitmo,0.7441630814968221,NOT,NOT
repost cant forget give props naomi osaka played idol someways win overshadowed humbled ,0.8229049806971314,NOT,OFF
 entertainment agencies gonna ass ,0.2790221270690969,OFF,NOT
 obviously getting suspended asset anyone,0.5434339980370373,NOT,OFF
trump really everything trump another piece evidence obstruction justice talking crime machine,0.6515239030121518,NOT,NOT
canada exclusive trudeau liberals leave meant help veterans unspent since taking office,0.71031407980814,NOT,NOT
 show us hot ,0.8385387216464784,NOT,NOT
 yet answer realistically enforceable gun control law would prevent tragedies without violating due process hipaa,0.753422804439649,NOT,OFF
disarmthem goes show moronic antifa types good way encourage dumbass rightfully get speedrocked open carry users practice weapon retention gun grabs go badly try get shot ,0.651247156622619,NOT,NOT
maga got ideas could done ,0.834901819774137,NOT,OFF
christinebford liberalsaredesperate every time liberals get way cry racism sexual assault hard believe,0.6318220029080746,NOT,NOT
 summarize rankings game mode one picture,0.8312948784171461,NOT,NOT
learn become better instead remaining stuck become bitter clifeclearly clifethryve aboutthatlife clifemacon,0.7863946996393042,NOT,NOT
kamalaharris may run president never potus sadly guaranteed leadership role politics much like diannefeinstein thats reality liberal california ask nancypelosi chuckschumer cnn msnbc,0.5927345641678462,NOT,NOT
levi strauss never afraid take unpopular stand support greater good shut manufacturing america even news story happened maybe right unpopular,0.6682951259935825,NOT,NOT
repost giving word jacket preach saynotofuckboys dontgiveyourmagictomuggles,0.6974934515254521,NOT,NOT
emmys sooo lovely love dress colour design looks like fairy tales tender,0.6899558743851091,NOT,NOT
change remember past administrations chant change change carried baton nothing potus making changes says far better like swampies liberals lefties hatin hatin,0.6857125795662381,NOT,NOT
 open letter mac miller,0.5031056791394537,NOT,OFF
cincinnatienquirer steps gun control finally took massshhoting damn door step editors wake better late never,0.7889172099058833,NOT,OFF
bitch im fucking coming back,0.4701634852585449,OFF,OFF
liberals reaching peak desperation call phillipruddock talk turnbull convince help wentworthvotes sept auspol lnp nswpol lnpmemes,0.5626614831979015,NOT,NOT
 chicago stricter gun control doesnt work,0.6426027954675553,NOT,OFF
uicideboy halloween aboout get sooooo fucking spooky,0.39279631768986467,OFF,NOT
 glad always goes something reckless show going coming back everytime jeff best,0.8385748620788835,NOT,OFF
democrat controlled city strict gun control laws wants blame gop um isnt rich democrats trying keep blacks poverty walkaway,0.5629915144373352,NOT,OFF
got love people making laws tend know nothing subject making law hear gun control laws people try pass states,0.6374337131826533,NOT,NOT
 hear saying,0.5720265317657643,NOT,NOT
penny believes intelligent knows think may smartest canadian ever canadians fun watch get twitter us find anyone opinion like rush hockey,0.6557167329175675,NOT,NOT
sandraoh oh love brought parents epitome grace beauty,0.8461017967456221,NOT,NOT
healingyourself connected healingothers,0.6751199061715902,NOT,NOT
christineblaseyford needs testify oath anything claims investigated far claims investigated comes word vs kavanaugh approved soon possible full stop maga qanon,0.7510936572940354,NOT,NOT
maga antifa website instructing hurt multiple police officers cross border,0.6562052831969201,NOT,NOT
nationaldayofencouragement encouragementdare therefore encourage one another build fact thessalonians scripture verse donate go website link bio call email donate community,0.6842837970193136,NOT,NOT
year old bletchley park veteran helped defeat nazis ready fight fascism ,0.647337931805691,NOT,OFF
walkawayfromcatholicism corrupt core become giant autocratic pedophile ring,0.5806810233707351,NOT,OFF
california patriots especially ca obama soros attempting take house seat get control congress say tj cox shill candidate fronted dastardly duo please get vote david valadao house dist follow,0.6576899847726041,NOT,NOT
noshadenotea like community college parents still pick drop need get life together omg,0.6485804177170997,NOT,OFF
 takes nigga name bio,0.6129561080027504,NOT,NOT
exactly bc slick woods unconventional look shes yea aint attractive us shit dont matter lol,0.44201787151839955,OFF,OFF
arrestgeorgesoros funds domesticterrorists antifa,0.8413417011863242,NOT,NOT
interesting gone kind background check similar fbi background checks judgekavanaugh ,0.7573758791943815,NOT,OFF
conservatives govt run debt spite austerity cuts rich doubled wealth inequality via,0.8184416875747376,NOT,OFF
crowderconfronts continues expose sjw bullies paper tigers conservatives fight back truth facts dontbeafraid confrontwithtruth,0.6414392593829145,NOT,NOT
x fun ,0.8634548039030645,NOT,NOT
antifa comrades miss nuance lot still people know white nationalist specific community uses white supremacist rhetoric employed wns gives dangerous company ,0.6165314038519616,NOT,NOT
beckylynch beautiful one women wrestling absolutely need work done absolutely beautiful way need giant boobs fake booty simply amazing hiac,0.7007867090586668,NOT,NOT
gun control nothing people control left wants gun control want us little guys armed able defend makes harder get us behind barbed wire fences saw north korea,0.6856326546997626,NOT,NOT
alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors ,0.7116550694742079,NOT,NOT
amazon pp ww murder food porn northwest cozy mystery dianne harman ends,0.577454613743996,NOT,NOT
wcw wce special day week really miss im looking forward see soon dont forget love love heart heart,0.8367856336803483,NOT,NOT
barbiedreamsvideo love fux even roman feel like roman actin like nicki dimelo papi papi,0.5739314711637259,NOT,NOT
