tweet,probability,Classification,True_class
huniachiweek matter going today past days situation never permanent god going change life good trust believe able please read,0.7029108664494461,NOT,NOT
 point contention decided keep group top end talent also decided hire hot trash mike mccoy wilks even able get defense line correctly head,0.7228282705887783,NOT,NOT
 yet everyone seems lack ,0.6604617778044658,NOT,NOT
maga expect censorship,0.8631998643286771,NOT,OFF
 apparently committed going new level since used key well fuck curiosity killed cat hy,0.6930216808215303,NOT,NOT
ne need check dentist find perfect work record child care facility check online kinds licensed professionals free,0.6961437628466405,NOT,OFF
 arent many shootings virginia jacksonville shooter got guns maryland among poster children gun control good youre full crap,0.6625182826875355,NOT,NOT
amnesty international us violation international human rights law passing stronger gun control via,0.7383921887240966,NOT,NOT
well chuck schumer cousin niece something obviously part dnc conspiracy nixon part deep state zionist plot big comedy whatever hell today conspiracy theory ,0.6832292208074422,NOT,NOT
godspraiseroom god keeps even storms may rock boat let submit one really knows end beginning,0.7451511579332937,NOT,NOT
spaldo guy godson,0.5219176994315378,NOT,OFF
antifa bedfellows democratic socialists america dsa jamesokeefe exposed inserted throughout government attempting bring america trump maga deepstate,0.7879525776287255,NOT,NOT
cnn ruthlessly continues fakenews onslot honest analysis right tcot cnn nra massshooting cnnisfakenews conservatives fakenewsmedia fakenews pba fakenewscnn,0.6743552025994264,NOT,NOT
brexit barometer labour fails capitalise conservatives fail please kantar nearly two thirds uk believe government handling brexit negotations poorly,0.9311431149445989,NOT,OFF
antifa ts level influence scary,0.5538322468975199,NOT,OFF
 three accounts two quasi anonymous one completely anon twitter ever bans one quasi anon make two anon accounts tweet insane shit drown twitter bullshit one banned make even ,0.6350340255374145,NOT,NOT
maga alert joe biden trump supporters dregs society video via,0.5823114330639969,NOT,NOT
cerc boyd stock sole holder stock among hedge funds track,0.8347926889495989,NOT,NOT
city chicago democrat run strictest gun control nation point notthatbright,0.6614164617981428,NOT,OFF
liberals pathetic innocent proven guilty mean much democrats look party need rapist hang kavanaughisinnocent walkawayfromdemocrats liberallies straight pitts hell,0.6308053857808786,NOT,NOT
trump may many things entertaining thanks twitter,0.7270156957789388,NOT,OFF
million reallocated fema ice guy gives zero shits anyone named trump youre mid atlantic get ,0.6152249842494388,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.6733743409363169,NOT,NOT
 read man invented bulbs saw failure differently new wayz differently genius,0.758385088830029,NOT,NOT
aunfettered repeal gun control laws government use people able well,0.7569877857443892,NOT,NOT
good thing responsible us marines im pretty sure group antifa members wouldnt running fast direction help anyone let alone elder seniors thank salute ,0.6308814679541922,NOT,NOT
fordtheatre right cue gofundme acct set person new liberals mode bribery payoffs really investigate gofundme new outlet slush funds comey mccabe strzok,0.686305108703055,NOT,NOT
christian twitter facebook silence conservatives christians next censored darkness takes help us grow living faith aloud go one go prayer warriors please help us grow movement,0.7556596428473672,NOT,NOT
ixine aus den speakern fick deine political correctness,0.6675468949848293,NOT,NOT
fall fashion trending coats colors looking airdrie calgary lethbridge toronto vancouver princegeorge,0.8197200327627125,NOT,NOT
republicans put wallin budget going loose pres trump followers u r support ,0.6293096363190499,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7223203254800394,NOT,OFF
sesamestreet bertandernie conversation unattractive creator says create character gay attacked,0.4674245703184927,OFF,OFF
serenawilliams full painful watch listen ,0.7405415952324457,NOT,OFF
colinkapernaeck done nothing sit ass complain time black people die hard white liberals think cause aka wake heck stfu colin civil rights hero martyr near ,0.5426978215234632,NOT,NOT
danganronpav claiming mastermind yet still dont believe dont think hes mastermind evidence suggests theres evidence suggests hes ,0.43664770151825316,OFF,NOT
monbebeselcaday beautiful,0.8166528872268297,NOT,NOT
lockhimupnow maga qanon best president ever,0.8101879838702902,NOT,NOT
goodbyenfl great players became marxists ill keep nixing sports league displays support bs oppression narrative goodbyenike,0.8143920623749799,NOT,NOT
liberals left democrats resist resistance antifa bluewave bluewave walkaway maga,0.7154914425251107,NOT,NOT
emailmarketing sales teach create exclusive online traffic economy never short leads sales ,0.7437508685574163,NOT,OFF
jeff sessions listen aclu antifa black lives matter want chicago shootings,0.5040601829687984,NOT,OFF
amazon ship live christmas trees door stay put damn lights,0.7836175894327619,NOT,NOT
 sweet congratulations house broken get better,0.795945848228399,NOT,OFF
 bet lot safer sex tho wouldnt one kids cant moms get dicked ,0.6706513555432965,NOT,NOT
 speaks nsfw,0.6374821398530324,NOT,NOT
jameycomey silent last weeks knows going indicted fbi doj strzok page textmessages qanon patriotsfight ty maga,0.8329873653610189,NOT,NOT
supernaturaltnt themanwhowouldbeking omg amazing crowley cas always great together miss ,0.8379229930822616,NOT,NOT
available adoption lincoln county nc roger sex male neutered age weeks old intake,0.7892751448638002,NOT,OFF
conservatives govt made life hell whistleblowers say threatened regulator thought govt promised protect whistleblowers,0.7510551366440313,NOT,NOT
apple live keynote appleevents,0.6138490240352024,NOT,NOT
zuckerberg lies,0.40136144731229884,OFF,NOT
lilduval know u aint going work tomorrow happyfriday smilebitch livingmybestlife hittemwithdashoulders,0.6114798059964807,NOT,NOT
antifahorst whuuuuut antifa maassen seehofer,0.5034884826846643,NOT,NOT
notetomystalker n empire trust penance life n career true nature leave stone unturned getting left nothing every one matter powerful ,0.6551819652185421,NOT,NOT
freeleahshaibu negotiate release someone daughter,0.43664770151825316,OFF,NOT
serenawilliams serena caught cheating coach collaborative thinks thief mind real thief umpire spotted going called like couple bank robbers blaming guard calling police,0.633812685883516,NOT,NOT
antifa retweet cant stop watching ,0.7005279059698752,NOT,NOT
notout thank following leicester voteforchange localelections votetory voteconservative cutcrime cutredtape cuttaxes cutgrass betterserviceslowertaxes,0.9028163230787798,NOT,NOT
thingsyoushouldneverassume someone says okay smile maybe wanna worry ,0.5777813874265706,NOT,NOT
repost get repost love fooled mistakes made dark images hold remember beauty feel,0.7160608034347662,NOT,NOT
nick gehlfuss stan watched friends going stop tvtime,0.5469589838922424,NOT,NOT
seo tips master fate online wise expect pity screw nobody else blame,0.5676937541859282,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.6733743409363169,NOT,OFF
maga qanon greatawakening inners wwgwga nowcomesthepain walkaway goodbyedemocrats ellison accuser says sidelined party,0.842318196269404,NOT,NOT
truth show build personal online traffic economy never short supply qualified prospects sales ,0.7665371545439033,NOT,NOT
gun control wondering control bodies got suicided need controlled gitmo pain coming maga qanon benghazi hope televise demise,0.7815360195511449,NOT,NOT
antifa new cause,0.6959988345504016,NOT,NOT
balkan conservatives unite family congress moldova,0.8432606699566979,NOT,OFF
boycottnfl dead ,0.48028881799059087,OFF,OFF
walkawayfromalldemocrats michelle years sure need bad advice new sheriff town maga get vote colors genders aka americans,0.719886675017601,NOT,NOT
constitutionday enforce u immigration laws one set laws illegal aliens one set laws citizens trump maga rednationrising nodaca,0.7512940913964765,NOT,OFF
blaseyford comical liberals always want ways first women need treated equals comes ford testifying say unfair men asking questions dems women equal receive special treatment,0.6464972811873189,NOT,NOT
 gun control kills people need concealed carry,0.7571467869102034,NOT,OFF
ted always feel appropriate public behavior often unable control gopdysfunction,0.6068040151996068,NOT,NOT
followthewhiterabbit qanon greatawakening spygate walkaway qanon qarmy maga google maga poland fisadeclassification dearprofessorford dem us senator corey booker molesting year old surfaces,0.8633881043411279,NOT,OFF
stick comedy funny yo start political commentary pathetic,0.7757766685897681,NOT,OFF
holder needed impeached,0.6362956354305347,NOT,NOT
wearebroncos little guy loves broncos one biggest fan beon,0.7700615634051063,NOT,NOT
bbcnews cleverly cuts nhs james cleverly conservatives coalition health spending,0.9120052265485961,NOT,NOT
 cute hell love looks like antifa protestor really freezing cold hunter need dye hair omg loved redhead,0.6687719913413439,NOT,OFF
believeallwomen think things get dumber happens liberals probably realize children equality treat women men pretty sure better results culture,0.647445570404069,NOT,NOT
today two important days life day born day find mark twain,0.8390328479150314,NOT,NOT
theladybam spoken simply best spreadmarylove onward,0.7905425047608858,NOT,NOT
media credentials poc problem please send dm like tweet,0.7938672976471186,NOT,NOT
alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors ,0.8306957985209299,NOT,OFF
sierraburgessisaloser phone dings,0.8969322424088189,NOT,OFF
metoo racist,0.4155536382172178,OFF,OFF
gop still acting like wimps havent yet realized liberals hate regardless sentiments either republicans stupid get way theyre tilted far left confirmkavanaughnow,0.6145136058158835,NOT,NOT
serenawilliams first mother women tour embarrassingly entitled bully yes kim clijsters winning major year baby,0.7872237062264021,NOT,OFF
thearchers want brilliant karate kick shit everyone,0.5793206203477806,NOT,NOT
fed agency hijaked info fed agency extremist group secretly funded antifa blm soros cia,0.7529046131796779,NOT,NOT
baldwinfundraises k street firm working pro bono gun control lobby law tammybaldwin fundraiser,0.6885577935062996,NOT,NOT
aafiasiddiqui convicted terrorist widely hailed daughter pakistan,0.619130571905353,NOT,OFF
dregsofsociety deplorables liberals usually dehumanize want exterminate later,0.5857452998922048,NOT,NOT
aldubloveandbeyond rise life friends know fall know friends ,0.5447266219694791,NOT,NOT
gemini woman cannot change scene liable change cast,0.8930454296178576,NOT,NOT
wce favorite girl hope day awesome ,0.8134409573220777,NOT,OFF
emmyawards ratings tank expected possibly stand watch many liberals one place one time,0.7630682595242781,NOT,NOT
cult like caps hmm else see cult like caps maga,0.6137263531704613,NOT,NOT
eagles setting workout jeremy maclin according week though still hurting,0.7337832753994658,NOT,NOT
let friends civil discussion totally fine told face life sinful criticize ever lightly civil anymore deserves block,0.6789983037756113,NOT,OFF
gutierrez always nothing racebaiter,0.6665944490541489,NOT,NOT
disarmthem antifa give jack participation trophy,0.7057869326025898,NOT,NOT
cognitivedissonancechallenge one painful conservatives proceed caution,0.7757091941589505,NOT,NOT
chequers crashes burns strasbourg along may hopes clinging power support ebbing away party parliament country time load webley,0.8412940047391593,NOT,NOT
john fund kavanaugh ford controversy even honest liberals upset via,0.639711054651029,NOT,OFF
elitist actors nbc liberals dems hollywood emmy awards toothless nbc self promotion onslaught peppered metoo cracks planned staged okay democrats socialist liberals left walkaway,0.6543425175161535,NOT,NOT
kellerman knows thing average man boxing brady hater say rodgers maybe better thrower ie dan marino better qb brady jut look playoff record,0.6377638275908604,NOT,OFF
drford dearprofessorford fraud female group paid organized georgesoros,0.6800983620705994,NOT,NOT
osaka says crowd noisy really c going focus cuz great champ confused score went ,0.7046080987520982,NOT,OFF
bluewave dumptrump give love cooperate compromise w conservatives trump supporters constantly vilify marginalized groups constantly attack womens rights make choices bodies,0.7213299213622908,NOT,NOT
takes season opener saturday highlights,0.9515779853957668,NOT,NOT
ummmm fascism actually started mussolini italy antifa part anonymous anonymous censor like antifa related anonymous anti censorship,0.7156709347997565,NOT,OFF
nightmayor dt cycle track easily open antifa tennis courts inside crescent heights able trash nenshis communist vape shop,0.7582618486560778,NOT,NOT
mplspotlight met stefanie newest adult services librarian putting lot hours cleaning collections favorite find book unique homes see sure say hi monrolib,0.7596624482213907,NOT,OFF
arunjaitleystepdown shameless fm history india audacity shamelessness lies public disgrace post,0.7316985535507287,NOT,NOT
canada liberal government rejects recommendation political parties comply privacy laws facebook cambridgeanalytica scandal,0.8191569128668297,NOT,NOT
 marry please roguebot,0.8363568035403733,NOT,OFF
conservatives bn housing trick crock sh te housingcrisis,0.9873178187310452,NOT,OFF
weeks resp done still know shit ass still vacation mode,0.6050281472205616,NOT,NOT
nab jesus reject u come homeward bound towards heavens kingdom open door ,0.7073829260737121,NOT,NOT
nickelodeon kallysmashup angel sheart forceof characterof goddessand lightshinesas much like star maiareficco,0.6801911158044315,NOT,OFF
coupdetat spain catalona spain fakedemocracy cddr shameonspain wakeupeurope,0.598708746976834,NOT,NOT
analysis supporters people party canada would likely bristle called liberal beliefs fit classic definition,0.6831526309776701,NOT,NOT
barbiedreamsvideo saw genius interview thank loving us much way love barbie beauty brains,0.7652660733886639,NOT,NOT
justiceforsoniasfather plz help sonia pain pti officials responding also getting trouble pmln goons plz help thanks,0.6478363917991474,NOT,NOT
 ok eric holder talking gun control pulled times going keep reposting everytime gets taken ,0.5840085209369977,NOT,NOT
conservatives today,0.8809358652717161,NOT,NOT
liberals democrats use first step food preparation,0.7862508954936986,NOT,OFF
liberalismisamentaldisorder also danger country liberals showing utterly hateful care truth care power,0.5130107335226153,NOT,NOT
florencehurricane hours sustained lethal cyclonic forces hours impact northcarolina southcarolina georgia stupid get away areas florence sep pm nyc miami houston chicago nj ca la,0.7965051737577182,NOT,NOT
antifa uklabour fbpe sutr pay attention forbritain fighting ,0.43664770151825316,OFF,NOT
 expert ni blocks anyone challenges views wants view heard obsessive love eu,0.7772255295113956,NOT,NOT
antifa demo memory killahp greece,0.5512757858255721,NOT,OFF
 coranated attacks idiot loons get worse much worse election u imagine idiots want get rid economy along interest rates polished politician idiots,0.6870943224007664,NOT,OFF
awwww stinking cute old ,0.6882903970089553,NOT,OFF
benghazi haiti uraniumone sethrich justice department need double standards rich powerful mean rob seal murder draintheswamp hillaryforprison votered maga,0.7937062571383419,NOT,NOT
black eyed peas tackle gun control social justice new song big love single highlights group first album eight years masters sun,0.6920009463865571,NOT,NOT
censorship awake yet ask conservatives censored walkaway,0.8322110014116935,NOT,NOT
 didnt beat like said looking delicious say clean bruised knuckles nobody talks woman way except pulls lap want kiss make feel better tease,0.5649648633831454,NOT,OFF
jointhefight join fight american communists democrats liberals taken crap edge coming back openly promoting destruction america jointhefightagainstcommunism,0.7086972614422625,NOT,NOT
art artistsontwitter soul goodbusiness entrepreneur success excellence womaninbusiness mindblowing quotestoliveby gentle child universe less trees stars right max ehrmann,0.647531130973651,NOT,NOT
icymi welcome anna grey barbour womens volleyball team anna terry sanford high school graduate studying dental hygiene college proud make trojan anna good luck season blackngold trojans,0.8386091998543975,NOT,NOT
biggbosstamil biggbosstamil biggbosstamil intha aishwarya va kuda manichirlam ana intha yashika biggest reason every fight bb house yet foolish people support tasks,0.7151462517593958,NOT,NOT
totallyblogging want know keep focus blogging easier said done start take look stop quitting ukbloggers fbloggers bbloggers lbloggers,0.643734468016489,NOT,OFF
 stated talk zionist involvement metaphysical masturbation disinformation agent taking advantage people lesser intellect ashamed hes hes zionel,0.451943972980657,OFF,NOT
update new projections state hurricane florence may travel coastline entire nc sc coast possibly suffering florence deadly storm surge greatly increasing seriousness rain wind south carolina surrounding areas even possibly georgia,0.7589551445122401,NOT,NOT
liberals like economics even know gender ,0.4765572755014946,OFF,OFF
khaleesi kinda watching hiac wtf think person pffft pathetic,0.7403792444719507,NOT,OFF
 females b shit,0.43664770151825316,OFF,NOT
brexit uklabour labour conservatives plaidcymru greens politics eu poll,0.9741747510257398,NOT,NOT
breakingnews via nyt new york times,0.8126620888617945,NOT,NOT
hchottestceleb round match scarlett johansson v emma stone poll ,0.8709939439099884,NOT,NOT
sugardaddy retweet want daily usa canada uk sugarbabyneeded sugarbabywanted findom sugarbaby canada,0.9081828601253255,NOT,OFF
declassifydocuments love watching liberals like maria squirm outnumbered,0.7581867629704097,NOT,OFF
politicsinfocus look donald duck stop patronizing ,0.47528311758238506,OFF,NOT
naturephotography nature birds wild wisconsin photography picoftheday pics fridaymotivation fridayfeeling instagramers hope amazing day,0.726868107043042,NOT,NOT
carolineforbes needed help posted sl dm audition,0.5358031674864508,NOT,NOT
wcw mean hey great friend happy help missions anything else might need,0.7112275679742186,NOT,NOT
 would offbalanced exactly smart basic grappling might instinct antifa used basic grappling cross side collar snap stepping weak single leg attempt,0.718198977062265,NOT,NOT
cancer hate crime actual crime victim called crime malum se hate crime socially engineered programming control people behavior like gun control changemymind,0.5868863899336092,NOT,OFF
carbontax works put tons money back canadian pockets part trudeau campaigning national carbon tax conservatives died want another death oblige,0.7618291970240103,NOT,OFF
antonia evans either sex trafficked cremated,0.7202939014657235,NOT,NOT
repost thesavoyshow get repost markknight says racist drawing racist picture serenawilliams yall believe nah,0.5116994751389409,NOT,NOT
 worrying thing teaching young adults,0.7332850055984514,NOT,NOT
walkaway democratsocialists socialists socialism resist communists antifa cult crazy insane mentalillness emptyheaded berniesanders venezuela trillion new taxes alexandriaocasiocortez ocasiocortez endorsementfail missvenezuala alexandria ocasio cortez,0.6882384723523172,NOT,OFF
theview stormy trapped dollar bill face poor pornstar worries democratic party leader ,0.6203648552153653,NOT,NOT
proudalumnus keep great work forget great leadership take time soak skills aim teach,0.7926350658285435,NOT,NOT
wildcardwednesday maxdrivewildcardwednesday onairwithshine np happier ft maxdrive w radioenchantress,0.5595167812444826,NOT,NOT
 deep end calls intervention,0.8384649209142305,NOT,NOT
cnbc go talk gender gap silicon valley talk gap conservatives emocrats bias,0.5078231317171525,NOT,NOT
million funding competition us cities thats nice,0.8166990888173745,NOT,NOT
 chicom spy clubgitmo,0.4752049338923158,OFF,NOT
repost cant forget give props naomi osaka played idol someways win overshadowed humbled ,0.7865659261540967,NOT,OFF
 entertainment agencies gonna ass ,0.43664770151825316,OFF,NOT
 obviously getting suspended asset anyone,0.585965925065411,NOT,OFF
trump really everything trump another piece evidence obstruction justice talking crime machine,0.5657530801578858,NOT,NOT
canada exclusive trudeau liberals leave meant help veterans unspent since taking office,0.755455174178425,NOT,NOT
 show us hot ,0.7410376286306124,NOT,NOT
 yet answer realistically enforceable gun control law would prevent tragedies without violating due process hipaa,0.7278234394879795,NOT,OFF
disarmthem goes show moronic antifa types good way encourage dumbass rightfully get speedrocked open carry users practice weapon retention gun grabs go badly try get shot ,0.7089962862886829,NOT,NOT
maga got ideas could done ,0.872294164827705,NOT,OFF
christinebford liberalsaredesperate every time liberals get way cry racism sexual assault hard believe,0.6723692521090647,NOT,NOT
 summarize rankings game mode one picture,0.8604898909252647,NOT,NOT
learn become better instead remaining stuck become bitter clifeclearly clifethryve aboutthatlife clifemacon,0.6711196550366246,NOT,NOT
kamalaharris may run president never potus sadly guaranteed leadership role politics much like diannefeinstein thats reality liberal california ask nancypelosi chuckschumer cnn msnbc,0.6907579789847063,NOT,NOT
levi strauss never afraid take unpopular stand support greater good shut manufacturing america even news story happened maybe right unpopular,0.6988209448593424,NOT,NOT
repost giving word jacket preach saynotofuckboys dontgiveyourmagictomuggles,0.674137008600101,NOT,NOT
emmys sooo lovely love dress colour design looks like fairy tales tender,0.6807468290319458,NOT,NOT
change remember past administrations chant change change carried baton nothing potus making changes says far better like swampies liberals lefties hatin hatin,0.7168790550143203,NOT,NOT
 open letter mac miller,0.5881110395197457,NOT,OFF
cincinnatienquirer steps gun control finally took massshhoting damn door step editors wake better late never,0.7909424299818449,NOT,OFF
bitch im fucking coming back,0.5703017405295806,NOT,OFF
liberals reaching peak desperation call phillipruddock talk turnbull convince help wentworthvotes sept auspol lnp nswpol lnpmemes,0.6036582273320646,NOT,NOT
 chicago stricter gun control doesnt work,0.6981597282115097,NOT,OFF
uicideboy halloween aboout get sooooo fucking spooky,0.43664770151825316,OFF,NOT
 glad always goes something reckless show going coming back everytime jeff best,0.7547025914145964,NOT,OFF
democrat controlled city strict gun control laws wants blame gop um isnt rich democrats trying keep blacks poverty walkaway,0.640259419305945,NOT,OFF
got love people making laws tend know nothing subject making law hear gun control laws people try pass states,0.6813262215293014,NOT,NOT
 hear saying,0.5137393672632793,NOT,NOT
penny believes intelligent knows think may smartest canadian ever canadians fun watch get twitter us find anyone opinion like rush hockey,0.6959358242040821,NOT,NOT
sandraoh oh love brought parents epitome grace beauty,0.7274487355960271,NOT,NOT
healingyourself connected healingothers,0.8758063505739939,NOT,NOT
christineblaseyford needs testify oath anything claims investigated far claims investigated comes word vs kavanaugh approved soon possible full stop maga qanon,0.6873586893991424,NOT,NOT
maga antifa website instructing hurt multiple police officers cross border,0.7509068796233285,NOT,NOT
nationaldayofencouragement encouragementdare therefore encourage one another build fact thessalonians scripture verse donate go website link bio call email donate community,0.7858946777843191,NOT,NOT
year old bletchley park veteran helped defeat nazis ready fight fascism ,0.8242508603190297,NOT,OFF
walkawayfromcatholicism corrupt core become giant autocratic pedophile ring,0.6962393182818232,NOT,OFF
california patriots especially ca obama soros attempting take house seat get control congress say tj cox shill candidate fronted dastardly duo please get vote david valadao house dist follow,0.7546611416966569,NOT,NOT
noshadenotea like community college parents still pick drop need get life together omg,0.7019881806510389,NOT,OFF
 takes nigga name bio,0.6702583671690365,NOT,NOT
exactly bc slick woods unconventional look shes yea aint attractive us shit dont matter lol,0.5432878105261227,NOT,OFF
arrestgeorgesoros funds domesticterrorists antifa,0.4470778437016488,OFF,NOT
interesting gone kind background check similar fbi background checks judgekavanaugh ,0.6321372815387618,NOT,OFF
conservatives govt run debt spite austerity cuts rich doubled wealth inequality via,0.8297258981266007,NOT,OFF
crowderconfronts continues expose sjw bullies paper tigers conservatives fight back truth facts dontbeafraid confrontwithtruth,0.6732030524053443,NOT,NOT
x fun ,0.7189822033591644,NOT,NOT
antifa comrades miss nuance lot still people know white nationalist specific community uses white supremacist rhetoric employed wns gives dangerous company ,0.5705529575044789,NOT,NOT
beckylynch beautiful one women wrestling absolutely need work done absolutely beautiful way need giant boobs fake booty simply amazing hiac,0.6600701385503829,NOT,NOT
gun control nothing people control left wants gun control want us little guys armed able defend makes harder get us behind barbed wire fences saw north korea,0.737717787032325,NOT,NOT
alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors ,0.8306957985209299,NOT,NOT
amazon pp ww murder food porn northwest cozy mystery dianne harman ends,0.6862783403865534,NOT,NOT
wcw wce special day week really miss im looking forward see soon dont forget love love heart heart,0.7627927992613941,NOT,NOT
barbiedreamsvideo love fux even roman feel like roman actin like nicki dimelo papi papi,0.5324018146534175,NOT,NOT
